id,matricule,groupe_code
820,137,4 - LM1 - A4
821,137,4 - LM2 - E3
822,137,4 - M2
823,137,4 - Sc4
824,137,4 - EPF2
825,137,4 - HG4
826,138,5 - LM1 - N
827,138,5 - Commu2
828,138,5 - LM2 - A2
829,138,5 - CPC7
830,138,5 - Sc4
831,138,5 - EPG1
832,138,5 - H6
833,138,5 - M4h3
834,139,3 - LM1 - N
835,139,3 - HG4
836,139,3 - ScOp2
837,139,3 - CPC1
838,139,3 - EPG23
839,139,3 - LM2 - A
70,14,5 - LM1 - A5
71,14,5 - EPF3
72,14,5 - M4h6
73,14,5 - H5
74,14,5 - LM2 - E4
75,14,5 - RI
76,14,5 - Sc2
77,14,5 - SO
840,140,5 - LM1 - A5
841,140,5 - EPF3
842,140,5 - CPC6
843,140,5 - M4h6
844,140,5 - H5
845,140,5 - LM2 - E4
846,140,5 - Sc2
847,140,5 - SO
848,141,5
849,141,5 - H3
850,141,5 - ScOp1
851,141,5 - LM1 - N
852,141,5 - CPC2
853,141,5 - Phy
854,141,5 - M
855,141,1
856,141,6 - L
857,141,5 - EPG2
858,141,5 - M6h1
859,142,2 - CPC4
860,142,2 - A1
861,142,2 - HGS1
862,142,2 - EPF2
863,143,3 - LM2 - N2
864,143,3 - LM1 - A3
865,143,3 - RI
866,143,3 - HG4
867,143,3 - ScOp2
868,143,3 - EPF2
869,144,5 - EPF1
870,144,5
871,144,5 - Sc3
872,144,5 - CPC7
873,144,6 - LM3 - E
874,144,5 - H6
875,144,5 - LM2 - N2
876,144,5 - LM1 - A4
877,144,5 - M4h3
878,145,5
879,145,5 - M4h5
880,145,5 - Hop
881,145,5 - CPC3
882,145,5 - Sc5
883,145,5 - H6
884,145,5 - LM1 - A4
885,145,5 - EPG2
886,145,6 - L
887,146,4 - ScOp1
888,146,4 - EPG1
889,146,4 - M1
890,147,2 - EPG3
891,147,2 - CPC2
892,148,1
893,148,2 - RP
894,148,2 - AI1
895,148,2 - EPG2
896,148,2 - AI
897,149,4 - LM1 - AI
898,149,4 - LM2 - N2
899,149,4 - ScOp3
900,149,4 - RP
901,149,4 - EPG1
902,149,3
78,15,3 - LM1 - A4
79,15,3 - LM2 - E2
80,15,3 - SC3
81,15,3 - RI
82,15,3 - HG3
