id,groupe_code,classe,option,LM1,LM2,LM3
548,1 - RC,1PAE,,,,
549,1 - RC,1PAF,,,,
550,1 - CPC2,1PAA,,,,
551,1 - CPC2,1PAC,,,,
552,1 - CPC2,1PAD,,,,
553,1 - CPC2,1PAF,,,,
554,1 - CPC1,1PAE,,,,
555,1 - CPC1,1PAB,,,,
556,2 - M,2PAA,,,,
557,2 - M,2PAB,,,,
558,2 - M,2PAD,,,,
559,2 - M,2PAE,,,,
560,2 - M,2PAF,,,,
561,2 - M,2PAG,,,,
562,2 - RC,2PAA,,,,
563,2 - RC,2PAC,,,,
564,2 - RC,2PAD,,,,
565,2 - RC,2PAE,,,,
566,2 - RC,2PAF,,,,
567,2 - RI,2PAA,,,,
568,2 - RI,2PAC,,,,
569,2 - RI,2PAF,,,,
570,2 - RI,2PAE,,,,
571,1+2 - RP,2PAA,,,,
572,1+2 - RP,2PAB,,,,
573,1+2 - RP,2PAC,,,,
574,1+2 - RP,2PAE,,,,
575,1+2 - RP,2PAF,,,,
576,1+2 - RP,2PAG,,,,
577,1+2 - RP,1PAF,,,,
578,2 - CPC1,2PAA,,,,
579,2 - CPC1,2PAG,,,,
580,2 - CPC3,2PAC,,,,
581,2 - CPC3,2PAD,,,,
582,4 - EPF1,4PAS,,,,
583,4 - EPF1,4PAV,,,,
584,4 - EPG1,4PAS,,,,
585,4 - EPG1,4PAV,,,,
586,5 - M+,5PAU,,,,
587,5 - M+,5PAX,,,,
588,5 - M+,5PAZ,,,,
589,5 - Labo1,5PAT,,,,
590,5 - Labo1,5PAU,,,,
591,5 - Labo1,5PAZ,,,,
592,5 - Labo2,5PAW,,,,
593,6 - EPF1,6PAU,,,,
594,6 - EPF1,6PAW,,,,
595,6 - EPG1,6PAU,,,,
596,6 - EPG1,6PAW,,,,
597,5 - CPC2,5PAX,,,,
598,6PAV-tout sauf SO,6PAV,,,,
